CMSG_ACCEPT_LEVEL_GRANT	0x0205
CMSG_ACCEPT_TRADE	0x7110
CMSG_ACTIVATETAXI	0x6E06
CMSG_ACTIVATETAXIEXPRESS	0x0515
CMSG_ACTIVE_PVP_CHEAT	0x0399
CMSG_ADD_FRIEND	0x6527
CMSG_ADD_IGNORE	0x4726
CMSG_ADD_PVP_MEDAL_CHEAT	0x0289
CMSG_ADD_VOICE_IGNORE	0x0F06
CMSG_ADVANCE_SPAWN_TIME	0x0031
CMSG_AFK_MONITOR_INFO_CLEAR	0x0505
CMSG_AFK_MONITOR_INFO_REQUEST	0x0503
CMSG_ALTER_APPEARANCE	0x0914
CMSG_AREATRIGGER	0x0937
CMSG_AREA_SPIRIT_HEALER_QUERY	0x4907
CMSG_AREA_SPIRIT_HEALER_QUEUE	0x4815
CMSG_ARENA_TEAM_ACCEPT	0x2A25
CMSG_ARENA_TEAM_CREATE	0x0348
CMSG_ARENA_TEAM_DECLINE	0x0352
CMSG_ARENA_TEAM_DISBAND	0x0355
CMSG_ARENA_TEAM_INVITE	0x034F
CMSG_ARENA_TEAM_LEADER	0x0356
CMSG_ARENA_TEAM_LEAVE	0x0353
CMSG_ARENA_TEAM_QUERY	0x034B
CMSG_ARENA_TEAM_REMOVE	0x0354
CMSG_ARENA_TEAM_ROSTER	0x034D
CMSG_ATTACKSTOP	0x0142
CMSG_ATTACKSWING	0x0141
CMSG_AUCTION_LIST_BIDDER_ITEMS	0x0264
CMSG_AUCTION_LIST_ITEMS	0x0258
CMSG_AUCTION_LIST_OWNER_ITEMS	0x0259
CMSG_AUCTION_LIST_PENDING_SALES	0x048F
CMSG_AUCTION_PLACE_BID	0x025A
CMSG_AUCTION_REMOVE_ITEM	0x0257
CMSG_AUCTION_SELL_ITEM	0x0256
CMSG_AUTH_SESSION	0x0449
CMSG_AUTH_SRP6_BEGIN	0x0033
CMSG_AUTH_SRP6_PROOF	0x0034
CMSG_AUTH_SRP6_RECODE	0x0035
CMSG_AUTOBANK_ITEM	0x0283
CMSG_AUTOEQUIP_GROUND_ITEM	0x0106
CMSG_AUTOEQUIP_ITEM	0x010A
CMSG_AUTOEQUIP_ITEM_SLOT	0x010F
CMSG_AUTOSTORE_BAG_ITEM	0x010B
CMSG_AUTOSTORE_BANK_ITEM	0x0282
CMSG_AUTOSTORE_GROUND_ITEM	0x0107
CMSG_AUTOSTORE_LOOT_ITEM	0x0108
CMSG_BANKER_ACTIVATE	0x01B7
CMSG_BATTLEFIELD_JOIN	0x023E
CMSG_BATTLEFIELD_LIST	0x023C
CMSG_BATTLEFIELD_MANAGER_ADVANCE_STATE	0x04E9
CMSG_BATTLEFIELD_MANAGER_SET_NEXT_TRANSITION_TIME	0x04EA
CMSG_BATTLEFIELD_MGR_ENTRY_INVITE_RESPONSE	0x04DF
CMSG_BATTLEFIELD_MGR_EXIT_REQUEST	0x04E7
CMSG_BATTLEFIELD_MGR_QUEUE_INVITE_RESPONSE	0x04E2
CMSG_BATTLEFIELD_MGR_QUEUE_REQUEST	0x04E3
CMSG_BATTLEFIELD_PORT	0x02D5
CMSG_BATTLEFIELD_STATUS	0x02D3
CMSG_BATTLEMASTER_HELLO	0x02D7
CMSG_BATTLEMASTER_JOIN	0x02EE
