kind	key	direction	classification	disposition	canonical_name	implementation	payload	fixture	client	owner	cata_ref	cata_js_ref	plan	state	evidence	notes
meta	schema	none	-	-	-	-	-	-	-	-	-	-	-	1	plan/github-issues.tsv	ledger schema
defaults	opcode	*	unverified-wip	defer	-	wotlk	wotlk	missing	missing	Protocol	-	-	Protocol foundation	open	-	pessimistic default for every active registration
file	plan/conversion-status.tsv	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 1	-	-	Plan 1	classified	plan/github-issues.tsv	file coverage is limited to this self-referential ledger
file	apps/cata/check_conversion.py	none	upstream-adaptation	retain	-	not-applicable	not-applicable	pass	not-required	Protocol	-	-	Protocol foundation	classified	sha256:7ea1897a19acdc1f45051c6cc9dfd36b420ed441c35373b2a384638ce0e2ac06	deterministic conversion audit reads canonical plan issue index
file	apps/cata/sync_plan_issues.py	none	upstream-adaptation	retain	-	not-applicable	not-applicable	pass	not-required	Planning	-	-	Conversion roadmap	classified	sha256:bda6b89ba30c3b4c737e18765c353ae75f6368b6f0d2a238a0c4601f40058214	idempotent paginated GitHub issue migration and live index verification
file	.agents/docs/cataclysm-conversion-goal.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Planning	-	-	Conversion roadmap	classified	sha256:8b6773e3c88ee3a9b99e3551ce89bb9136b9e14030464cf3dd53c6b8c3f2d7b2	GitHub issues are canonical numbered plan records
file	plan/github-issues.tsv	none	upstream-adaptation	retain	-	not-applicable	not-applicable	pass	not-required	Planning	-	-	Conversion roadmap	classified	sha256:22685ab2ffc9ae2e3e9eb002f251f3f709c9d98467b35e9b779739d9c12281be	live-verified Plan 1 through Plan 10 issue index
file	plan/01-conversion-baseline-and-protocol-contracts.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 1	-	-	Plan 1	classified	sha256:3f7137cde600fdcf8fa345c2b3f98dffb87cbb177d36721de1dfb0eaa8d09911	stable-path stub for canonical closed issue 11
file	plan/02-deterministic-bit-buffer-contract.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	pass	not-required	Plan 2	-	-	Wire primitives	classified	sha256:b2745962ee29eb8a9c26cdb7a97a751a8d02994211c39a2f645b79cc7ed45b97	stable-path stub for canonical closed issue 12
file	plan/03-world-compression-stream-lifetime.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	pass	not-required	Plan 3	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.cpp	-	Protocol foundation	classified	sha256:fd90f6fb9fdc8ef8686857adfae1027689116923d7221fabbbb724e54e939a26	stable-path stub for canonical closed issue 13
file	plan/04-direction-safe-opcode-model.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 4	-	-	Plan 4	classified	sha256:a67bb015ae1e4c56feaf60e169f7f3092fd577fb0ee3185599d06d0c2a4a60e1	stable-path stub for canonical closed issue 14
file	apps/cata/run_authentication_handoff.py	none	upstream-adaptation	retain	-	not-applicable	cata-matched	pass	not-required	Plan 6	c699217775d90794158422387b07a917e161b582:src/server/apps/authserver/Server/AuthSession.cpp	-	World authentication	classified	sha256:42113a2891a8cc1f702e2b0dfc31514ebfef8c53f6dc3c9a683efcf085db740c	stdlib runner owns disposable MySQL real authserver SRP and bounded cleanup
file	apps/cata/run_real_client_authentication.py	none	upstream-adaptation	retain	-	not-applicable	cata-matched	pass	pass	Plan 7	c699217775d90794158422387b07a917e161b582:src/server/apps/authserver/Server/AuthSession.cpp	-	Real client authentication	classified	sha256:4b07e8000dc0c113cd5bbfaefabef3a6567ed72e76880cdd14a325cfb710c85c	stdlib runner owns the isolated real-client lifecycle and bounded reset
file	apps/cata/fixtures/plan7-client-authentication.json	none	upstream-adaptation	retain	-	not-applicable	cata-matched	pass	pass	Plan 7	c699217775d90794158422387b07a917e161b582:src/server/apps/authserver/Server/AuthSession.cpp	-	Real client authentication	classified	sha256:00b64983f68385fad1ac5eb70abe1d6bde55aac448bf30a3e39af9b2f5525382	sanitized two-run acceptance and Plan 6 replay evidence
file	apps/cata/fixtures/plan8-character-screen.json	none	upstream-adaptation	retain	-	not-applicable	cata-matched	pass	pass	Plan 8	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/CharacterPackets.h	-	Build 15595 character screen	classified	sha256:f84b737962b072b410282cef1026919db0ca7236c31c9188e53d5ddec936c45f	sanitized two-run empty enumeration and stable screen evidence
file	apps/cata/fixtures/plan9-populated-character-list.json	none	upstream-adaptation	retain	-	not-applicable	cata-matched	pass	pass	Plan 9	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/CharacterPackets.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/packet/character_packet.ts	Build 15595 populated character list	classified	sha256:76d31526d93c18bb0a7690df80c25ba932f0e71ce25a62c6435303232bae0f7e	sanitized two-run populated enumeration and stable one-character screen evidence
file	src/test/server/game/Server/Packets/CharacterPacketsTest.cpp	none	upstream-adaptation	retain	-	not-applicable	cata-matched	pass	not-required	Plan 9	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/CharacterPackets.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/packet/character_packet.ts	Build 15595 populated character list	classified	sha256:a347c049bce5c8ef71e7509caba33e4b9a353f547cd6612fa9c4285f147d1d6e	exact empty and populated character-enum packet fixtures with mutation checks
file	plan/conversion-roadmap.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 8	-	-	Conversion roadmap	classified	sha256:13fe757ab580b815ae1b6453d339b8004bc82ee809ef604f29d14d94d0971cff	roadmap links canonical GitHub plan issues
file	plan/06-build-15595-authentication-handoff.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 6	c699217775d90794158422387b07a917e161b582:sql/base/auth_database.sql	-	World authentication	classified	sha256:e8a1e76d87ffad06c1beaf99581e9db95a80f84ecae7fce7018ff71b2ca3a0fc	stable-path stub for canonical closed issue 16
file	plan/07-isolated-build-15595-client-authentication.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 7	c699217775d90794158422387b07a917e161b582:src/server/apps/authserver/Server/AuthSession.cpp	-	World authentication	classified	sha256:a4c4882ecb91c5e92d4e8a9c1d837517a24d8e652a463f52e4f498892f25b1c7	stable-path stub for canonical closed issue 17
file	plan/08-build-15595-character-screen.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 8	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character screen	classified	sha256:22652a60d0992c35bdd032e9299a2d0e45e70356eeb653691b075c023e654205	completed plan and issue reference
file	plan/08-runtime-findings.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 8	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character screen	classified	sha256:a65b2e7a42d9bdd5d123604db290862eb43e7404da0ebb23780ebcd79afe1f69	runtime setup findings and two-run acceptance record
file	plan/09-build-15595-populated-character-list.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 9	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/CharacterPackets.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/packet/character_packet.ts	Character screen	classified	sha256:5e29750643274c0ce9b189ebee7aef588ede96c358b44aba4df2af1dc207e1e1	completed Plan 9 findings and canonical issue reference
file	plan/10-build-15595-character-selection.md	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 10	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/CharacterPackets.cpp	3a697cea11654fb3a801e5a2477ef0713c00af1a:src/server/game/packet/character_packet.ts	Character selection	classified	sha256:c430ee7c1e0fa403e7fcd55b73e075b4011bb3bd79f3529cfa69a5ca95e8f83b	stable-path stub for canonical open issue 20
file	plan/05-world-authentication-packet-contract.md	none	upstream-adaptation	retain	-	not-applicable	cata-matched	pass	not-required	Plan 5	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/AuthenticationPackets.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	classified	sha256:a2f0a5f0e3691bd0606a0e3dbf7b1581980998bdaa82ff516a98db454c656c1c	stable-path stub for canonical closed issue 15
file	plan/decision-log.tsv	none	upstream-adaptation	retain	-	not-applicable	not-applicable	not-required	not-required	Plan 10	-	-	Character selection	classified	sha256:a03f112c7077b2322fc24e1efc11fe55e2f9c123e080b76432d8d4cbfaf0bdcc	append-only GitHub issue migration and conversion decisions through Plan 9
file	src/server/game/Handlers/AuthHandler.cpp	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	World authentication	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/AuthHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	sha256:8d955b0383db71e9cb119d6973a936d26fe7a174ca4f953fc58bb28cc09bbbb5	all session auth responses route through the typed serializer
file	src/server/game/Server/Packets/AuthenticationPackets.cpp	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	World authentication	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/AuthenticationPackets.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	sha256:b0fdbefd9b27956c53c45bbea470ea20957a020ff1dd0833a89c8e43cc115ee5	exact challenge session and response codecs
file	src/server/game/Server/Packets/AuthenticationPackets.h	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	World authentication	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/AuthenticationPackets.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	sha256:8461515eee7efd9953b240ec02349c305ed40ec7937ba51ca6703f88cfba4e40	typed authentication packet state and real field widths
file	src/server/game/Server/WorldSocket.h	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.h	-	World authentication	converted	sha256:76cbfb7640cbfc057cc2d57c0454911471fdab04b57f19aa83baf8dd25a64239	friend-only focused handoff fixture with no production behavior change
file	src/test/server/game/Server/Packets/AuthenticationPacketsTest.cpp	none	upstream-adaptation	retain	-	not-applicable	cata-matched	pass	not-required	Tests	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/AuthenticationPackets.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	classified	sha256:0e3634e10b1890eb2c892b3da15db4ccd79f87bddfc2292c7e0c7e0e2841cec8	exact packet codecs and persisted-key world handoff fixture
file	data/sql/updates/pending_db_auth/rev_1786964293354831242.sql	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	Database	c699217775d90794158422387b07a917e161b582:sql/base/auth_database.sql	-	World authentication	converted	sha256:29c0fb6095e438f5e8cfbfe7cf86aafbbb3929e7c31a186df5792d2f206c5188	build 15595 identity and future-realm default without updating existing rows
opcode	CMSG_CHAR_ENUM	c2s	required-cata	rewrite	CMSG_ENUM_CHARACTERS	mapped	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/opcodes.ts	Protocol foundation	open	canonical name comparison	explicit fork-to-canonical alias
opcode	SMSG_CHAR_ENUM	s2c	required-cata	rewrite	SMSG_ENUM_CHARACTERS_RESULT	mapped	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/opcodes.ts	Protocol foundation	open	canonical name comparison	explicit fork-to-canonical alias
opcode	SMSG_CHAR_CREATE	s2c	required-cata	rewrite	SMSG_CREATE_CHAR	mapped	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/opcodes.ts	Protocol foundation	open	canonical name comparison	explicit fork-to-canonical alias
opcode	SMSG_CHAR_DELETE	s2c	required-cata	rewrite	SMSG_DELETE_CHAR	mapped	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/opcodes.ts	Protocol foundation	open	canonical name comparison	explicit fork-to-canonical alias
anchor	build.packet-log	none	unverified-wip	rewrite	-	wotlk	wotlk	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/PacketLog.cpp	-	Protocol foundation	open	checker anchor scan	packet log still records build 12340
anchor	build.auth-row	none	unverified-wip	defer	-	wotlk	wotlk	missing	missing	Database	c699217775d90794158422387b07a917e161b582:sql/base/auth_database.sql	-	Database strategy	deferred	checker anchor scan	immutable base SQL remains WotLK until a separate migration plan
anchor	build.realm-default	none	unverified-wip	defer	-	wotlk	wotlk	missing	missing	Database	c699217775d90794158422387b07a917e161b582:sql/base/auth_database.sql	-	Database strategy	deferred	checker anchor scan	immutable base SQL remains WotLK until a separate migration plan
anchor	build.realm-seed	none	unverified-wip	defer	-	wotlk	wotlk	missing	missing	Database	c699217775d90794158422387b07a917e161b582:sql/base/auth_database.sql	-	Database strategy	deferred	checker anchor scan	immutable base SQL remains WotLK until a separate migration plan
anchor	build.expansion	none	unverified-wip	rewrite	-	wotlk	wotlk	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/worldserver/worldserver.conf.dist	-	Protocol foundation	open	checker anchor scan	worldserver still targets expansion 2
anchor	player.max-level	none	unverified-wip	defer	-	wotlk	wotlk	missing	missing	Player	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCEnums.h	-	Player progression	deferred	checker anchor scan	default maximum level remains 80
anchor	objects.update-fields	none	unverified-wip	defer	-	wotlk	wotlk	missing	missing	Objects	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/Updates/UpdateFields.h	-	Object model	deferred	checker anchor scan	generated fields remain 3.3.5.12340
anchor	protocol.opcode-model	none	required-cata	rewrite	-	converted	not-applicable	pass	not-required	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.h	-	Protocol foundation	converted	checker self-check twice plus OpcodeTableTest twice and MySQL 8.0.46 linkage	727 client and 588 server declarations with 105 explicit MSG aliases; 1315 values preserved
anchor	objects.guid-layout	none	unverified-wip	defer	-	wotlk	wotlk	missing	missing	Objects	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	-	Object model	deferred	checker anchor scan	global object GUID layout remains WotLK
anchor	data.db2-files	none	unverified-wip	defer	-	wotlk	wotlk	missing	missing	DataStores	c699217775d90794158422387b07a917e161b582:src	-	Client data stores	deferred	checker tree comparison	file names alone do not prove DB2 format compatibility
anchor	protocol.byte-buffer-bits	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	Protocol	c699217775d90794158422387b07a917e161b582:src/server/shared/Packets/ByteBuffer.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/packet.ts	Protocol foundation	converted	checker source scan plus bytebuffer_tests 11/11 twice	member initialization move reset widths alignment and exact wire bytes are proven locally
anchor	protocol.compression	none	required-cata	rewrite	-	converted	cata-unverified	pass	not-required	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.cpp	-	Protocol foundation	converted	checker self-check twice plus WorldSocket.cpp.o with MySQL 8.0.46	persistent stream lifetime is proven; ordered compression bytes remain unverified
anchor	protocol.authentication-codecs	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/AuthenticationPackets.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	checker self-check plus five exact packet fixtures twice affected object compilation and target linkage	challenge session and response codecs share typed routing; live client acceptance remains unverified
anchor	database.build-15595-admission	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	Database	c699217775d90794158422387b07a917e161b582:sql/base/auth_database.sql	-	World authentication	converted	checker mutation plus two fresh MySQL 8.4 generations	pending update admits 4.3.4 build 15595 and changes only the future realm default
anchor	client-data.map-format	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Client data	c699217775d90794158422387b07a917e161b582:src/common/Collision/Maps/MapDefines.cpp	-	Real client authentication	converted	apps/cata/fixtures/plan7-client-authentication.json	format 10 accepted Cataclysm maps in both fresh disposable worldserver runs
anchor	protocol.authentication-handoff	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	Protocol	c699217775d90794158422387b07a917e161b582:src/server/apps/authserver/Server/AuthSession.cpp	-	World authentication	converted	checker mutation plus two equal isolated authserver-world transcripts	real authserver persisted K is consumed by the existing world callback and natural AUTH_OK path
anchor	protocol.real-client-authentication	none	required-cata	retain	-	converted	cata-matched	pass	pass	Protocol	c699217775d90794158422387b07a917e161b582:src/server/apps/authserver/Server/AuthSession.cpp	-	Real client authentication	converted	apps/cata/fixtures/plan7-client-authentication.json	two matching fresh build 15595 client runs plus Plan 6 replay and bounded reset
anchor	protocol.character-enumeration	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/CharacterPackets.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 character screen	converted	apps/cata/fixtures/plan8-character-screen.json	typed empty enum plus two matching fresh client-screen generations with bounded reset
anchor	protocol.populated-character-list	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/CharacterPackets.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/packet/character_packet.ts	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	typed populated enum plus two matching fresh client generations with clean reset
block	src/server/game/Grids/GridTerrainData.h@03c40b054bd995a9:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Client data	c699217775d90794158422387b07a917e161b582:src/common/Collision/Maps/MapDefines.cpp	-	Real client authentication	converted	apps/cata/fixtures/plan7-client-authentication.json	worldserver accepts Cataclysm map format 10
block	src/tools/map_extractor/System.cpp@6bfc3dc3eb2ddb0a:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Client data	c699217775d90794158422387b07a917e161b582:src/common/Collision/Maps/MapDefines.cpp	-	Real client authentication	converted	apps/cata/fixtures/plan7-client-authentication.json	map extractor emits Cataclysm format 10
block	src/tools/mmaps_generator/TerrainBuilder.cpp@9de9163d86954280:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Client data	c699217775d90794158422387b07a917e161b582:src/common/Collision/Maps/MapDefines.cpp	-	Real client authentication	converted	apps/cata/fixtures/plan7-client-authentication.json	mmap generator consumes Cataclysm map format 10
block	src/server/game/Server/WorldSocket.cpp@c7d7bc36d936fcf1:1	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	packet fixtures and affected object compilation	WorldSocket imports the typed authentication packets
block	src/server/game/Server/WorldSocket.cpp@fb21aac2f53e5c42:1	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	packet fixtures and affected object compilation	auth challenge fields use the typed serializer
block	src/server/game/Server/WorldSocket.cpp@9671aaad57276995:1	none	required-cata	rewrite	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSocket.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	packet fixtures and affected object compilation	auth challenge sends the typed payload through the existing queue
block	src/server/game/Server/WorldSocket.cpp@16cbb73ef5c642db:1	none	required-cata	delete	-	converted	cata-matched	pass	not-required	WorldSocket	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/AuthenticationPackets.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	World authentication	converted	checker mutation and packet fixtures	duplicate inline auth-session model removed
