plan	issue	state	title	url
01	11	closed	Plan 1: conversion baseline and protocol contracts	https://github.com/trolloks/azerothcore-cata/issues/11
02	12	closed	Plan 2: deterministic bit-buffer contract	https://github.com/trolloks/azerothcore-cata/issues/12
03	13	closed	Plan 3: world compression stream lifetime	https://github.com/trolloks/azerothcore-cata/issues/13
04	14	closed	Plan 4: direction-safe opcode model	https://github.com/trolloks/azerothcore-cata/issues/14
05	15	closed	Plan 5: world authentication packet contract	https://github.com/trolloks/azerothcore-cata/issues/15
06	16	closed	Plan 6: build 15595 authentication handoff	https://github.com/trolloks/azerothcore-cata/issues/16
07	17	closed	Plan 7: isolated build 15595 client authentication	https://github.com/trolloks/azerothcore-cata/issues/17
08	18	closed	Plan 8: typed empty character enumeration and stable build 15595 screen	https://github.com/trolloks/azerothcore-cata/issues/18
09	19	closed	Plan 9: one database-backed build 15595 character	https://github.com/trolloks/azerothcore-cata/issues/19
10	20	closed	Plan 10: select the enumerated build 15595 character	https://github.com/trolloks/azerothcore-cata/issues/20
11	25	open	Plan 11: build 15595 initial post-load packet contract	https://github.com/trolloks/azerothcore-cata/issues/25
12	26	open	Plan 12: build 15595 map insertion and object bootstrap	https://github.com/trolloks/azerothcore-cata/issues/26
13	27	open	Plan 13: build 15595 in-world control bootstrap	https://github.com/trolloks/azerothcore-cata/issues/27
